 Zone   x     Tgas  mIL   mOLOA mOLIA dCO   dCI   dLO   dLI    AFR    TwLi    TwLo    TwCi    TwCo    eta    TwLiI   TwLoI   TwCiI   TwCoI   etaI
  -     mm     K    kg/s  kg/s  kg/s   m     m     m     m      -      K       K       K       K       %       K       K       K       K       %  
  2   64.4  1169.9  0.24  0.00  0.03  0.25  0.05  0.20  0.10  23.7   999.9   998.1   765.1   763.8    0.00  1072.3  1070.6   913.7   911.2    0.00
  2   65.6  1176.2  0.24  0.00  0.03  0.25  0.05  0.20  0.10  23.7  1004.9  1003.1   769.2   767.9    0.00  1077.7  1075.9   918.6   916.1    0.00
  2   66.8  1182.5  0.24  0.00  0.03  0.25  0.05  0.20  0.10  23.7  1010.0  1008.2   773.3   772.0    0.00  1083.1  1081.3   923.6   921.1    0.00
  2   68.0  1188.8  0.24  0.00  0.03  0.25  0.05  0.20  0.10  23.7  1015.1  1013.2   777.5   776.1    0.00  1088.5  1086.7   928.6   926.0    0.00
  2   69.2  1195.1  0.24  0.00  0.03  0.25  0.05  0.20  0.10  23.7  1020.2  1018.3   781.7   780.3    0.00  1093.9  1092.1   933.6   931.0    0.00
  2   70.4  1201.4  0.24  0.00  0.03  0.25  0.05  0.20  0.10  23.7  1025.3  1023.3   785.8   784.4    0.00  1099.3  1097.5   938.6   935.9    0.00
  2   71.6  1207.7  0.24  0.00  0.03  0.25  0.05  0.20  0.10  23.7  1030.4  1028.4   789.9   788.5    0.00  1104.7  1102.8   943.6   940.9    0.00
  2   72.8  1213.9  0.24  0.00  0.03  0.25  0.05  0.20  0.10  23.7  1035.5  1033.5   794.1   792.6    0.00  1110.1  1108.2   948.6   945.8    0.00
  2   74.0  1220.2  0.24  0.00  0.03  0.25  0.05  0.20  0.10  23.7  1040.6  1038.5   798.4   796.8    0.00  1115.6  1113.6   953.7   950.9    0.00
  2   75.2  1226.5  0.24  0.00  0.03  0.25  0.05  0.20  0.10  23.7  1045.7  1043.6   802.4   800.9    0.00  1121.0  1119.0   958.7   955.8    0.00
  2   76.4  1232.8  0.24  0.00  0.03  0.25  0.05  0.20  0.10  23.7  1050.8  1048.6   806.5   804.9    0.00  1126.4  1124.4   963.6   960.6    0.00
  2   77.6  1239.1  0.24  0.00  0.03  0.25  0.05  0.20  0.10  23.7  1055.9  1053.7   810.7   809.1    0.00  1131.9  1129.8   968.7   965.7    0.00
  2   78.8  1245.4  0.24  0.00  0.03  0.25  0.05  0.20  0.10  23.7  1061.1  1058.8   814.9   813.3    0.00  1137.3  1135.2   973.6   970.6    0.00
  2   80.0  1251.7  0.24  0.00  0.03  0.25  0.05  0.20  0.10  23.7  1066.2  1063.9   819.1   817.4    0.00  1142.7  1140.6   978.8   975.6    0.00
  3   82.8  1249.0  0.24  0.00  0.03  0.25  0.05  0.20  0.10  23.7  1064.1  1061.8   817.4   815.8    0.00  1140.4  1138.3   976.6   973.5    0.00
  3   85.6  1246.4  0.24  0.00  0.03  0.25  0.05  0.20  0.10  23.7  1061.9  1059.6   815.5   813.9    0.00  1138.1  1136.0   974.5   971.4    0.00
  3   88.4  1243.7  0.24  0.00  0.03  0.25  0.05  0.20  0.10  23.7  1059.7  1057.5   813.9   812.2    0.00  1135.9  1133.8   972.4   969.3    0.00
  3   91.2  1241.1  0.24  0.00  0.03  0.25  0.05  0.20  0.10  23.7  1057.6  1055.3   812.1   810.5    0.00  1133.6  1131.5   970.3   967.2    0.00
  3   94.0  1238.4  0.24  0.00  0.03  0.25  0.05  0.20  0.10  23.7  1055.4  1053.2   810.3   808.7    0.00  1131.3  1129.2   968.2   965.1    0.00
  3   96.8  1235.8  0.24  0.00  0.03  0.25  0.05  0.20  0.10  23.7  1053.3  1051.1   808.6   807.0    0.00  1129.0  1127.0   966.0   963.0    0.00
  3   99.6  1233.1  0.24  0.00  0.03  0.25  0.05  0.20  0.10  23.7  1051.1  1049.0   806.9   805.3    0.00  1126.7  1124.7   963.9   960.9    0.00
  3  102.4  1230.5  0.50  0.00  0.03  0.25  0.05  0.20  0.10  50.0  1070.3  1067.9   822.4   820.7    0.00  1149.0  1146.9   984.6   981.4    0.00
  3  105.2  1227.9  0.50  0.00  0.03  0.25  0.05  0.20  0.10  50.0  1068.1  1065.8   820.6   819.0    0.00  1146.7  1144.6   982.4   979.2    0.00
  3  108.0  1225.2  0.50  0.00  0.03  0.25  0.05  0.20  0.10  50.0  1066.0  1063.7   819.0   817.3    0.00  1144.4  1142.3   980.3   977.1    0.00
  3  110.8  1222.6  0.50  0.00  0.03  0.25  0.05  0.20  0.10  50.0  1063.9  1061.6   817.2   815.6    0.00  1142.1  1140.0   978.2   975.1    0.00
  3  113.6  1219.9  0.50  0.00  0.03  0.25  0.05  0.20  0.10  50.0  1061.7  1059.5   815.5   813.8    0.00  1139.8  1137.7   976.1   973.0    0.00
  3  116.4  1217.3  0.50  0.00  0.03  0.25  0.05  0.20  0.10  50.0  1059.6  1057.4   813.8   812.2    0.00  1137.5  1135.4   974.0   970.9    0.00
  3  119.2  1214.6  0.50  0.00  0.03  0.25  0.05  0.20  0.10  50.0  1057.5  1055.3   812.1   810.4    0.00  1135.2  1133.1   971.8   968.8    0.00
  3  122.0  1212.0  0.50  0.00  0.03  0.25  0.05  0.20  0.10  50.0  1055.4  1053.2   810.3   808.7    0.00  1132.9  1130.8   969.7   966.7    0.00
  3  124.8  1209.3  0.50  0.00  0.03  0.25  0.05  0.20  0.10  50.0  1053.2  1051.0   808.5   806.9    0.00  1130.6  1128.5   967.6   964.6    0.00
  3  127.6  1206.7  0.50  0.00  0.03  0.25  0.05  0.20  0.10  50.0  1051.1  1049.0   806.8   805.3    0.00  1128.3  1126.2   965.4   962.4    0.00
  3  130.4  1204.1  0.50  0.00  0.03  0.25  0.05  0.20  0.10  50.0  1049.0  1046.9   805.2   803.6    0.00  1126.0  1123.9   963.2   960.3    0.00
  3  133.2  1201.4  0.50  0.00  0.03  0.25  0.05  0.20  0.10  50.0  1046.9  1044.7   803.4   801.8    0.00  1123.7  1121.6   961.1   958.2    0.00
  3  136.0  1198.8  0.50  0.00  0.03  0.25  0.05  0.20  0.10  50.0  1044.7  1042.6   801.6   800.1    0.00  1121.3  1119.4   959.0   956.1    0.00
  3  138.8  1196.1  0.50  0.00  0.03  0.25  0.05  0.20  0.10  50.0  1042.6  1040.5   799.9   798.4    0.00  1119.0  1117.1   956.8   954.0    0.00
  3  141.6  1193.5  0.50  0.00  0.03  0.25  0.05  0.20  0.10  50.0  1040.5  1038.4   798.3   796.7    0.00  1116.7  1114.8   954.7   951.8    0.00
  3  144.4  1190.8  0.50  0.00  0.03  0.25  0.05  0.20  0.10  50.0  1038.4  1036.3   796.5   795.0    0.00  1114.4  1112.5   952.6   949.7    0.00
  3  147.2  1188.2  0.50  0.00  0.03  0.25  0.05  0.20  0.10  50.0  1036.2  1034.2   794.7   793.2    0.00  1112.1  1110.2   950.4   947.6    0.00
  3  150.0  1185.5  0.50  0.00  0.03  0.25  0.05  0.20  0.10  50.0  1034.1  1032.1   793.0   791.5    0.00  1109.8  1107.9   948.3   945.5    0.00
  4  152.0  1185.5  0.50  0.00  0.03  0.25  0.05  0.20  0.10  50.0  1034.1  1032.1   793.0   791.5    0.00  1109.8  1107.9   948.3   945.5    0.00
  4  154.0  1185.5  0.50  0.00  0.03  0.25  0.05  0.20  0.10  50.0  1034.1  1032.1   793.0   791.5    0.00  1109.8  1107.9   948.3   945.5    0.00
  4  156.0  1185.5  0.50  0.00  0.03  0.25  0.05  0.20  0.10  50.0  1034.1  1032.1   793.0   791.5    0.00  1109.8  1107.9   948.3   945.5    0.00
